"trade_no","master_cmt_no","cmt_type","cursor_dealer","secur_type","secur_desc","prog_term","end_term","prog_type","investor","trade_date","trade_exp","del_date","cursor_pool_month","tolerance","trade_amt","coupon","price","serv_fee","cmt_no","open_amt","tot_profit","filled","pairoff_date1","FeeAmount1","Profit1","pairoff_date2","FeeAmount2","Profit2","pairoff_date3","FeeAmount3","Profit3","pairoff_amt3","Notes","Fee Notes"
"G1000192","","","SOUTHWEST SECURITIES"," FNMA","","180","180","Fixed","","09/24/2015","","12/16/2015","0","","500000.00","3.000","103.625000","","","0.00","312.500000","Filled","11/30/2015","517812.50","312.500000","","","0.000000","","","0.000000","","",""
"G1000196","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/25/2015","","12/10/2015","0","","1000000.00","3.500","103.312500","","","0.00","-937.500000","Filled","11/24/2015","1034062.50","-937.500000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 9/25/2015 8:32 AM >Datatrac #3903",""
"G1000197","","","FNMA TRADE DESK"," FNMA","","180","180","Fixed","","09/25/2015","","12/16/2015","0","","500000.00","2.500","101.171880","","","0.00","-859.350000","Filled","11/30/2015","506718.75","-859.350000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 9/25/2015 8:39 AM >Datatrac#3904",""
"G1000199","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/28/2015","","12/10/2015","0","","1000000.00","3.500","103.562500","","","0.00","1093.700000","Filled","11/04/2015","1034531.30","1093.700000","","","0.000000","","","0.000000","","< Pam Neff : 9/28/2015 5:44 PM >Data trac 3906",""
"G1000201","","","FNMA TRADE DESK"," GNMA II","","360","360","Fixed","","09/30/2015","","12/10/2015","0","","1000000.00","3.500","104.078130","","","0.00","-3750.000000","Filled","11/30/2015","1044531.30","-3750.000000","","","0.000000","","","0.000000","","< William Morrow : 9/30/2015 10:21 AM >3908 as of 09/30",""
"G1000204","","","FNMA TRADE DESK"," GNMA II","","360","360","Fixed","","10/01/2015","","12/17/2015","0","","4500000.00","4.000","106.281250","","","0.00","-4453.350000","Filled","11/02/2015","2127187.60","-1562.600000","11/30/2015","1062656.30","156.200000","12/01/2015","1597265.70","-3046.950000","1500000.00","< William Morrow : 10/01/2015 3:29 PM >3909-10/01/2015",""
"G1000205","","","SOUTHWEST SECURITIES"," GNMA II","","360","360","Fixed","","10/01/2015","","12/17/2015","0","","3000000.00","3.500","104.375000","","","0.00","2500.000000","Filled","11/18/2015","1042500.00","1250.000000","11/19/2015","2086250.00","1250.000000","","","0.000000","","< William Morrow : 10/01/2015 3:29 PM >3910-10/01/2015"," < William Morrow : 11/19/2015 2:46 PM >Final"
"G1000207","","","FNMA TRADE DESK"," GNMA II","","360","360","Fixed","","10/02/2015","","12/17/2015","0","","1000000.00","3.500","104.281250","","","0.00","937.500000","Filled","11/24/2015","1041875.00","937.500000","","","0.000000","","","0.000000","","< William Morrow : 10/02/2015 10:45 AM >3912-10/02",""
"G1000209","","","CANTOR FITZGERALD"," GNMA II","","360","360","Fixed","","10/02/2015","","12/17/2015","0","","1000000.00","3.500","104.562500","","","0.00","3281.200000","Filled","11/18/2015","1042343.80","3281.200000","","","0.000000","","","0.000000","","< William Morrow : 10/02/2015 1:03 PM >3914-10/02",""
"G1000212","","","FNMA TRADE DESK"," FNMA","","180","180","Fixed","","10/02/2015","","12/16/2015","0","","500000.00","3.000","104.031250","","","0.00","1328.100000","Filled","11/03/2015","518828.15","1328.100000","","","0.000000","","","0.000000","","< William Morrow : 10/02/2015 2:54 PM >3918-10/02",""
"G1000213","","","FNMA TRADE DESK"," GNMA II","","360","360","Fixed","","10/02/2015","","12/17/2015","0","","1000000.00","3.500","104.562500","","","0.00","6406.200000","Filled","11/09/2015","1039218.80","6406.200000","","","0.000000","","","0.000000","","< William Morrow : 10/02/2015 2:50 PM >3917-10/02",""
"G1000214","","","FNMA TRADE DESK"," GNMA II","","360","360","Fixed","","10/05/2015","","12/17/2015","0","","1500000.00","3.500","104.468750","","","0.00","3515.550000","Filled","11/18/2015","1563515.70","3515.550000","","","0.000000","","","0.000000","","< Pam Neff : 10/05/2015 10:53 AM >Data Trac # .3919"," < Pam Neff : 11/18/2015 12:57 PM >"
"G1000216","","","SOUTHWEST SECURITIES"," GNMA II","","360","360","Fixed","","10/05/2015","","12/17/2015","0","","2000000.00","3.500","104.437500","","","0.00","5937.400000","Filled","11/13/2015","2082812.60","5937.400000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 10/05/2015 12:47 PM >DT#3921",""
"G1000218","","","SOUTHWEST SECURITIES"," GNMA II","","360","360","Fixed","","10/05/2015","","12/17/2015","0","","1000000.00","3.000","101.796880","","","0.00","2343.750000","Filled","11/24/2015","507265.65","1718.750000","11/30/2015","508359.40","625.000000","","","0.000000","","< Marshelle Fernandez : 10/05/2015 1:02 PM >DT#3925",""
"G1000220","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","10/05/2015","","12/17/2015","0","","1000000.00","4.000","106.250000","","","0.00","2031.200000","Filled","11/09/2015","1060468.80","2031.200000","","","0.000000","","","0.000000","","< Pam Neff : 10/05/2015 1:29 PM >Data Trac 3922",""
"G1000226","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","10/07/2015","","12/17/2015","0","","1000000.00","4.000","106.250000","","","0.00","2031.200000","Filled","11/09/2015","1060468.80","2031.200000","","","0.000000","","","0.000000","","< William Morrow : 10/07/2015 3:28 PM >3928 10/07",""
"G1000231","","","BANK OF OKLAHOMA N.A."," FNMA","","360","360","Fixed","","10/14/2015","","01/13/2016","0","","3000000.00","3.500","103.984380","","","0.00","18750.000000","Filled","11/30/2015","3100781.40","18750.000000","","","0.000000","","","0.000000","","< William Morrow : 10/14/2015 10:40 AM >3932 10/14",""
"G1000232","","","CANTOR FITZGERALD"," GNMA II","","360","360","Fixed","","10/14/2015","","12/17/2015","0","","1000000.00","3.500","104.812500","","","0.00","2031.200000","Filled","11/02/2015","1046093.80","2031.200000","","","0.000000","","","0.000000","","< William Morrow : 10/14/2015 3:36 PM >3933 10/14",""
"G1000233","","","CANTOR FITZGERALD"," FNMA","","360","360","Fixed","","10/14/2015","","01/13/2016","0","","2000000.00","3.500","104.078130","","","0.00","20312.600000","Filled","11/16/2015","2061250.00","20312.600000","","","0.000000","","","0.000000","","< William Morrow : 10/14/2015 3:37 PM >3934 10/14",""
"G1000237","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","10/15/2015","","01/13/2016","0","","1000000.00","3.500","103.968750","","","0.00","5781.200000","Filled","11/30/2015","1033906.30","5781.200000","","","0.000000","","","0.000000","","< William Morrow : 10/15/2015 2:36 PM >3938 10/15",""
"G1000238","","","FNMA TRADE DESK"," GNMA II","","360","360","Fixed","","10/16/2015","","12/17/2015","0","","1000000.00","3.500","104.718750","","","0.00","7968.700000","Filled","11/09/2015","1039218.80","7968.700000","","","0.000000","","","0.000000","","< William Morrow : 10/16/2015 3:23 PM >3939 10/16",""
"G1000246","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","10/21/2015","","01/13/2016","0","","1500000.00","3.500","104.031250","","","0.00","10546.800000","Filled","11/30/2015","1549921.95","10546.800000","","","0.000000","","","0.000000","","< William Morrow : 10/21/2015 5:07 PM >3947 10/21",""
"G1000247","","","DAIWA CAPITAL MARKETS AM"," GNMA II","","360","360","Fixed","","10/22/2015","","01/21/2016","0","","1000000.00","3.500","104.625000","","","0.00","7500.000000","Filled","11/23/2015","1038750.00","7500.000000","","","0.000000","","","0.000000","","",""
"G1000248","","","HILLTOP SECURITIES"," GNMA II","","360","360","Fixed","","10/22/2015","","01/21/2016","0","","3000000.00","3.500","104.625000","","","0.00","20937.400000","Filled","11/19/2015","1040000.00","6250.000000","11/23/2015","2077812.60","14687.400000","","","0.000000","","< William Morrow : 10/22/2015 1:47 PM >3949 10/22",""
"G1000249","","","CANTOR FITZGERALD"," GNMA II","","360","360","Fixed","","10/22/2015","","01/21/2016","0","","1500000.00","4.000","106.343750","","","0.00","5625.000000","Filled","11/19/2015","1589531.25","5625.000000","","","0.000000","","","0.000000","","< William Morrow : 10/22/2015 1:57 PM >3950  10/22",""
"G1000252","","","BANK OF OKLAHOMA N.A."," FNMA","","360","360","Fixed","","10/22/2015","","01/13/2016","0","","1000000.00","3.500","104.140630","","","0.00","10312.500000","Filled","11/23/2015","1031093.80","10312.500000","","","0.000000","","","0.000000","","",""
"G1000253","","","HILLTOP SECURITIES"," FNMA","","360","360","Fixed","","10/22/2015","","01/13/2016","0","","1000000.00","3.500","104.140630","","","0.00","9843.800000","Filled","11/23/2015","1031562.50","9843.800000","","","0.000000","","","0.000000","","< William Morrow : 10/22/2015 2:29 PM >3954  10/22",""
"G1000255","","","FNMA TRADE DESK"," FNMA","","180","180","Fixed","","10/23/2015","","01/19/2016","0","","500000.00","3.000","103.890630","","","0.00","2500.000000","Filled","11/30/2015","516953.15","2500.000000","","","0.000000","","","0.000000","","< William Morrow : 10/23/2015 12:57 PM >3956 10/23",""
"G1000256","","","BANK OF OKLAHOMA N.A."," FNMA","","360","360","Fixed","","10/27/2015","","01/13/2016","0","","2000000.00","3.500","104.187500","","","0.00","24843.800000","Filled","11/13/2015","2058906.20","24843.800000","","","0.000000","","","0.000000","","< William Morrow : 10/27/2015 1:04 PM >3957 10/27",""
"G1000257","","","CANTOR FITZGERALD"," GNMA II","","360","360","Fixed","","10/27/2015","","01/21/2016","0","","1500000.00","3.500","104.718750","","","0.00","7734.300000","Filled","11/30/2015","1563046.95","7734.300000","","","0.000000","","","0.000000","","< William Morrow : 10/27/2015 1:20 PM >3958 10/27",""
"G1000258","","","HILLTOP SECURITIES"," GNMA II","","360","360","Fixed","","10/27/2015","","01/21/2016","0","","1500000.00","3.500","104.687500","","","0.00","7265.550000","Filled","11/30/2015","1563046.95","7265.550000","","","0.000000","","","0.000000","","< William Morrow : 10/27/2015 1:22 PM >3959  10/27",""
"G1000259","","","DAIWA CAPITAL MARKETS AM"," GNMA II","","360","360","Fixed","","10/27/2015","","12/17/2015","0","","1000000.00","3.000","102.312500","","","0.00","12500.000000","Filled","11/12/2015","1010625.00","12500.000000","","","0.000000","","","0.000000","","< William Morrow : 10/27/2015 4:25 PM >3960  10/27",""
"G1000266","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","10/28/2015","","12/17/2015","0","","1500000.00","3.000","101.937500","","","0.00","7187.500000","Filled","11/10/2015","505312.50","4375.000000","11/30/2015","1016562.50","2812.500000","","","0.000000","","< William Morrow : 10/28/2015 3:48 PM >3967  10/28",""
"G1000276","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","11/03/2015","","12/10/2015","0","","500000.00","3.000","100.546880","","","0.00","4453.150000","Filled","11/10/2015","498281.25","4453.150000","","","0.000000","","","0.000000","","",""
"G1000299","","","BANK OF OKLAHOMA N.A."," FNMA","","180","180","Fixed","","11/12/2015","","01/19/2016","0","","500000.00","2.500","100.593750","","","0.00","-2109.400000","Filled","11/24/2015","505078.15","-2109.400000","","","0.000000","","","0.000000","","",""
"G1000300","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","11/13/2015","","01/13/2016","0","","500000.00","3.000","99.453130","","","0.00","-2968.750000","Filled","11/24/2015","500234.40","-2968.750000","","","0.000000","","","0.000000","","",""
