"Loan Number","Blank 1","Blank 2","Blank 3","Blank 4","Blank 5","Blank 6","Blank 7","Purchased","Investor Code","Investor Loan No"
"1601100410","","","","","","","","02/16/2012","PENNYMAC","8000011493"
"1601100419","","","","","","","","02/14/2012","US BANK","6850373046"
"1601100421","","","","","","","","02/16/2012","PENNYMAC","8000010317"
"1601100422","","","","","","","","02/21/2012","US BANK","6850373977"
"1601100426","","","","","","","","02/24/2012","US BANK","6850375096"
"1601100428","","","","","","","","02/14/2012","US BANK","6850367012"
"1601200000","","","","","","","","02/16/2012","PENNYMAC","8000011466"
"1601200009","","","","","","","","02/27/2012","FRANKLIN AMERICAN","1701454624"
"1671100103","","","","","","","","02/10/2012","US BANK","6850363716"
"1671100106","","","","","","","","02/15/2012","US BANK","6850372562"
"1671200000","","","","","","","","02/15/2012","US BANK","6850364816"
"1681100144","","","","","","","","02/14/2012","GMAC BANK","603283159"
"1681100172","","","","","","","","02/02/2012","US BANK","6850353417"
"1681100174","","","","","","","","02/08/2012","US BANK","6850355079"
"1681100176","","","","","","","","02/07/2012","PENNYMAC","8000010460"
"1681100178","","","","","","","","02/02/2012","FLAGSTAR","503405929"
"1681100179","","","","","","","","02/17/2012","FLAGSTAR","503441806"
"1681100182","","","","","","","","02/09/2012","PENNYMAC","8000010100"
"1681100184","","","","","","","","02/07/2012","US BANK","6805364048"
"1681100187","","","","","","","","02/15/2012","US BANK","6850361782"
"1681200007","","","","","","","","02/24/2012","US BANK","6850374141"
"1761100069","","","","","","","","02/07/2012","FLAGSTAR","503396457"
"1761100072","","","","","","","","02/23/2012","PENNYMAC","8000011643"
"1761200000","","","","","","","","02/27/2012","US BANK","6850377014"
"1821100225","","","","","","","","02/06/2012","FLAGSTAR","503413119"
"1821100239","","","","","","","","02/17/2012","FIRST MTG CORP","400806"
"1821100265","","","","","","","","02/27/2012","PENNYMAC","8000012662"
"1921100227","","","","","","","","02/03/2012","JP MORGAN","1157533153"
"1921100233","","","","","","","","02/15/2012","US BANK","6850370134"
"1921100237","","","","","","","","02/09/2012","US BANK","6850367458"
"1921100243","","","","","","","","02/06/2012","FLAGSTAR","503386143"
"1921100249","","","","","","","","02/08/2012","GMAC BANK","603304192"
"1921100252","","","","","","","","02/15/2012","US BANK","6850371010"
"2001100080","","","","","","","","02/21/2012","US BANK","6850374500"
"2001100088","","","","","","","","02/10/2012","PENNYMAC","8000010510"
"2001100089","","","","","","","","02/24/2012","FLAGSTAR","503445028"
"2501100114","","","","","","","","02/06/2012","GMAC BANK","603302802"
"2501100122","","","","","","","","02/03/2012","US BANK","6850357499"
"2501100124","","","","","","","","02/07/2012","US BANK","6850360206"
"2501100126","","","","","","","","02/10/2012","FRANKLIN AMERICAN","1701448734"
"2541100141","","","","","","","","02/14/2012","US BANK","6850361392"
"2561100070","","","","","","","","02/07/2012","FLAGSTAR","503403483"
"2561200001","","","","","","","","02/24/2012","PENNYMAC","8000012856"
"2571100066","","","","","","","","02/08/2012","AFFILIATED MTG CO","3000082253"
"2571100072","","","","","","","","02/08/2012","GMAC BANK","603301821"
"2571100076","","","","","","","","02/17/2012","AFFILIATED MTG CO","3000082291"
"2571100078","","","","","","","","02/15/2012","PENNYMAC","8000010461"
"2571200008","","","","","","","","02/27/2012","FLAGSTAR","503451192"
"2591100096","","","","","","","","02/27/2012","US BANK","6850375603"
"2591100120","","","","","","","","02/21/2012","US BANK","6850357706"
"2591100147","","","","","","","","02/10/2012","PENNYMAC","8000007459"
"2591100148","","","","","","","","02/03/2012","US BANK","6850364466"
"2591100150","","","","","","","","02/21/2012","PENNYMAC","8000011585"
"2591100152","","","","","","","","02/13/2012","PENNYMAC","8000010111"
"2591100154","","","","","","","","02/14/2012","PENNYMAC","8000010479"
"2591100155","","","","","","","","02/06/2012","US BANK","6850368795"
"2591100157","","","","","","","","02/06/2012","GMAC BANK","603303832"
"2591100160","","","","","","","","02/21/2012","FRANKLIN AMERICAN","1701455863"
